SEP=;
portion_DEFAULT(%);total_prepared();total_operated();total_recoved();total_deceased();total_patients();interval_patients(hours);from_wait_to_prep(hours);from_prep_to_oper(hours);from_wait_to_reco(hours);mean_prep_time_distr(hours);mean_oper_time_distr(hours);mean_oper_reco_distr(hours);operation_usage(%);arr_queue_length();idle_capacity();move_reco_blocked(%);all_reco_busy(%)
100,0;31,0;27,0;26,0;0,0;30,0;31,979874006666066;61,98086202766085;48,63623854857183;164,9146325841152;50,91832035797463;25,459160178987315;50,91832035797463;78,8;0,255;0,758;0,0;1,2
100,0;48,0;48,0;48,0;0,0;48,0;21,176289367310588;52,318669131262844;47,46573830004868;139,68038698508698;33,49756316058368;16,74878158029184;33,49756316058368;86,7;0,661;0,39;6,25;10,4
100,0;38,0;36,0;36,0;0,0;38,0;26,79938761137142;57,96227415566639;44,659691216166216;150,60072869842367;41,508783579109064;20,754391789554532;41,508783579109064;86,2;0,411;0,762;5,555555555555555;6,6
100,0;39,0;42,0;43,0;0,0;40,0;25,175634520591267;40,672576042971954;34,973892571091476;113,18749444811182;39,961746302054785;19,980873151027392;39,961746302054785;80,4;0,095;0,991;7,142857142857143;3,7
100,0;41,0;41,0;44,0;0,0;42,0;24,29468362049932;47,41759493415504;44,78661606488111;131,38351551757307;40,698318561308604;20,349159280654302;40,698318561308604;81,0;0,371;0,676;7,317073170731708;7,9
100,0;45,0;45,0;44,0;0,0;45,0;22,44482837891728;44,15823000852718;43,53898209705279;126,61237325366636;35,95517914053917;17,977589570269586;35,95517914053917;81,5;0,259;0,705;4,444444444444445;5,7
100,0;37,0;40,0;39,0;0,0;37,0;26,3867088262909;53,7021377455495;54,255407463101086;151,76433573879405;42,95270074925301;21,476350374626506;42,95270074925301;84,0;0,418;0,609;2,5;8,8
100,0;37,0;38,0;40,0;0,0;37,0;27,039529904509653;46,7623359822087;36,20337141139057;125,31589100631572;42,31226029974715;21,156130149873576;42,31226029974715;80,9;0,121;0,94;2,6315789473684212;5,2
100,0;47,0;46,0;47,0;0,0;47,0;22,443931991265814;49,91794217259032;47,668759435242656;135,7025185260705;37,646961812955226;18,823480906477613;37,646961812955226;84,2;0,405;0,565;4,3478260869565215;5,6
100,0;40,0;37,0;37,0;0,0;43,0;23,99982759548449;106,6952665341712;67,29286968921136;217,11107510642782;36,17778683964759;18,088893419823794;36,17778683964759;84,7;2,721;0,174;16,216216216216218;14,4
100,0;36,0;36,0;35,0;0,0;36,0;27,51396958836725;52,792402771422765;50,71279073098599;149,94148420448474;45,3172567502717;22,65862837513585;45,3172567502717;83,8;0,243;0,609;5,555555555555555;5,4
100,0;29,0;31,0;30,0;0,0;29,0;32,37962639398426;61,2178102585464;46,12320004365441;155,4454446605911;53,94414905118508;26,97207452559254;53,94414905118508;75,8;0,303;0,794;9,67741935483871;4,3
100,0;33,0;34,0;34,0;0,0;33,0;30,51855232552694;77,0236987931191;63,38475868306405;190,12118769238162;48,26308956956461;24,131544784782307;48,26308956956461;83,0;0,912;0,44;2,9411764705882355;8,7
100,0;40,0;39,0;39,0;0,0;42,0;24,504361609397268;40,096773333966176;31,004279287827114;108,55786868193779;39,528213290116895;19,764106645058447;39,528213290116895;77,3;0,136;0,928;2,5641025641025643;2,6
100,0;46,0;47,0;48,0;0,0;45,0;21,21550209943273;39,46805218492083;32,51026111761151;105,87724949111013;36,57702845106359;18,288514225531795;36,57702845106359;77,2;0,173;0,883;2,127659574468085;2,8
100,0;47,0;46,0;49,0;0,0;45,0;22,63385005383587;71,89687111026849;48,97055355545545;156,69795110844154;35,706310197150266;17,853155098575133;35,706310197150266;80,7;1,42;0,272;6,521739130434782;9,3
100,0;46,0;45,0;43,0;0,0;53,0;18,94754660069427;55,62654492527762;50,06691791074077;140,9741123283108;30,89895622890708;15,44947811445354;30,89895622890708;83,3;1,474;0,292;4,444444444444445;7,1
100,0;47,0;47,0;47,0;0,0;44,0;23,525050995364946;162,04193723787637;65,5945299296916;274,44976407418613;36,082619949721966;18,041309974860983;36,082619949721966;91,5;5,419;0,0;12,76595744680851;11,9
100,0;37,0;38,0;33,0;0,0;38,0;26,430640447987706;48,29927484720357;46,59354832529414;138,5155176201619;42,730593948500115;21,365296974250057;42,730593948500115;83,2;0,49;0,726;2,6315789473684212;4,5
100,0;40,0;42,0;40,0;0,0;39,0;24,748797772845858;50,48208566825706;43,787569079832245;129,57373480364657;45,1692423906264;22,5846211953132;45,1692423906264;77,67767767767768;0,4934934934934935;0,5355355355355356;0,0;4,504504504504505
