SEP=;
portion_MILD(%);portion_SEVERE(%);portion_CRITICAL(%);total_prepared();total_operated();total_recoved();total_deceased();total_patients();interval_patients(hours);from_wait_to_prep(hours);from_prep_to_oper(hours);from_wait_to_reco(hours);mean_prep_time_distr(hours);mean_oper_time_distr(hours);mean_oper_reco_distr(hours);operation_usage(%);arr_queue_length();idle_capacity();move_reco_blocked(%);all_reco_busy(%)
66,66666666666667;23,333333333333332;10,0;24,0;24,0;26,0;0,0;30,0;31,979874006666066;126,33003847911108;52,494692863924826;237,39134587656176;90,12761530670308;25,459160178987315;50,91832035797463;66,1;1,281;0,089;4,166666666666667;6,0
89,58333333333333;6,25;4,166666666666667;27,0;28,0;26,0;0,0;48,0;21,176289367310588;495,6481777073653;53,17912177798163;591,8593959276217;42,12270586990105;16,74878158029184;33,49756316058368;67,4;20,634;0,0;0,0;0,5
71,05263157894737;28,94736842105263;0,0;34,0;28,0;29,0;0,0;38,0;26,79938761137142;620,1818136728377;43,551224766168474;709,1744728560192;51,39192022179583;20,754391789554532;41,508783579109064;69,2;19,364;0,0;3,5714285714285716;1,1
67,5;30,0;2,5;52,0;54,0;55,0;0,0;40,0;25,175634520591267;744,6147881517057;41,76152179210777;817,3519805372425;56,22962136319671;19,980873151027392;39,961746302054785;80,5;32,275;0,0;5,555555555555555;7,3
78,57142857142857;11,904761904761905;9,523809523809524;48,0;49,0;49,0;0,0;42,0;24,29468362049932;748,8455522965345;43,23002591381715;828,2771340686916;68,58640165538642;20,349159280654302;40,698318561308604;87,6;30,086;0,0;8,16326530612245;7,6
82,22222222222223;15,555555555555555;2,2222222222222223;42,0;40,0;41,0;0,0;45,0;22,44482837891728;804,3146867813449;47,97571501204433;895,1552547435296;42,39959347091909;17,977589570269586;35,95517914053917;83,8;30,102;0,0;5,0;3,8
70,27027027027027;27,027027027027028;2,7027027027027026;44,0;47,0;46,0;0,0;37,0;26,3867088262909;716,8641657336566;39,89067831622869;792,1984781266914;58,6385253262039;21,476350374626506;42,95270074925301;86,7;25,797;0,0;0,0;2,2
72,97297297297297;21,62162162162162;5,405405405405405;62,0;65,0;67,0;0,0;37,0;27,039529904509653;689,7958419469453;30,225210084670074;744,3171483606121;66,11889788894733;21,156130149873576;42,31226029974715;77,4;30,341;0,0;6,153846153846154;4,7
76,59574468085107;19,148936170212767;4,25531914893617;47,0;45,0;44,0;0,0;47,0;22,443931991265814;787,4850766699491;39,9055210581746;861,2547597247229;56,539965039855005;18,823480906477613;37,646961812955226;79,9;34,109;0,0;2,2222222222222223;4,0
79,06976744186046;16,27906976744186;4,651162790697675;17,0;15,0;15,0;0,0;43,0;23,99982759548449;989,3751962081461;73,53634675776799;1140,3989592939029;53,796521487282526;18,088893419823794;36,17778683964759;63,1;28,366;0,0;0,0;1,8
72,22222222222223;22,22222222222222;5,555555555555555;41,0;42,0;39,0;0,0;36,0;27,51396958836725;1149,046348632268;36,35415264972564;1220,9313562326222;70,14381477542581;22,65862837513585;45,3172567502717;74,9;43,413;0,0;2,380952380952381;6,1
65,51724137931035;17,24137931034483;17,24137931034483;35,0;37,0;35,0;0,0;29,0;32,37962639398426;1357,9125997799495;53,29153918377675;1453,855240387005;124,42264993407885;26,97207452559254;53,94414905118508;79,3;49,432;0,0;5,405405405405405;5,6
72,72727272727273;15,151515151515152;12,121212121212121;16,0;18,0;19,0;0,0;33,0;30,51855232552694;1701,942851964631;41,54609264529561;1793,9460272181475;89,60756626585673;24,131544784782307;48,26308956956461;42,1;55,584;0,0;0,0;0,7
73,80952380952381;21,428571428571427;4,761904761904762;30,0;30,0;28,0;0,0;42,0;24,504361609397268;2195,5882426381854;41,880844807674684;2288,3084383151186;62,7855044884219;19,764106645058447;39,528213290116895;75,6;81,97;0,0;6,666666666666667;6,9
80,0;15,555555555555555;4,444444444444445;49,0;51,0;50,0;0,0;45,0;21,21550209943273;2417,704150532234;43,46962568676506;2496,420798270982;56,338438080636195;18,288514225531795;36,57702845106359;87,5;102,489;0,0;1,9607843137254901;7,5
80,0;15,555555555555555;4,444444444444445;42,0;39,0;41,0;0,0;45,0;22,63385005383587;2632,658856911126;48,15577275297149;2720,7195730493017;53,562087981165625;17,853155098575133;35,706310197150266;74,6;110,376;0,0;2,5641025641025643;3,8
84,90566037735849;11,320754716981131;3,7735849056603774;49,0;49,0;47,0;0,0;53,0;18,94754660069427;2644,4173917832186;39,62627295924795;2720,3051418028977;44,120089177856;15,44947811445354;30,89895622890708;87,8;106,863;0,0;2,0408163265306123;5,3
86,36363636363636;4,545454545454546;9,090909090909092;39,0;40,0;43,0;0,0;44,0;23,525050995364946;2770,5928715850637;41,7927954857817;2852,427600221427;57,11468416115883;18,041309974860983;36,082619949721966;73,7;113,37;0,0;2,5;4,0
68,42105263157895;28,94736842105263;2,6315789473684212;34,0;39,0;42,0;0,0;38,0;26,430640447987706;2994,380274923925;41,11527883003094;3071,252886259852;64,36179630255013;21,365296974250057;42,730593948500115;56,7;121,78;0,0;2,5641025641025643;4,9
69,23076923076923;23,076923076923077;7,6923076923076925;57,0;57,0;57,0;0,0;39,0;24,748797772845858;3380,8118474438934;39,156767084182334;3452,0023014728613;82,88012391760437;22,5846211953132;45,1692423906264;88,78878878878879;139,68168168168168;0,0;1,7543859649122806;7,207207207207207
